"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          73,      0.2008256658,      -1.157995952,       1.083564177,      0.7042352751,        3.75495949,      -11.42879676,   1.954923987e-08,   2.324560989e-06,       6.513393354,       8.352984033,       8.352704435
          74,      0.2010485709,      -1.025914325,       1.126476591,      0.6565816027,       3.812785065,      -11.28878846,   1.974458457e-08,    2.57241427e-06,       6.513393354,       8.436513873,        8.43619874
          75,      0.2011277509,     -0.9558692519,       1.437265321,      0.7373852557,       4.171185439,      -11.25235264,   1.994188033e-08,   2.772864487e-06,       6.513393354,       8.520879012,       8.520518558
          76,       0.201345587,     -0.8748103389,       1.411626324,      0.7887650799,       4.077859585,      -11.24708598,   2.014114661e-08,   2.949697786e-06,       6.513393354,       8.606087802,       8.605665551
          77,      0.2014454291,     -0.8915582109,       1.481452933,      0.8593585133,       4.149278104,      -11.26226418,   2.034240312e-08,   3.378173764e-06,       6.513393354,        8.69214868,       8.691667092
          78,      0.2015461777,     -0.8570760765,       1.488939992,      0.8432280163,       4.143720917,      -11.23955865,   2.054566967e-08,   3.308209188e-06,       6.513393354,       8.779070167,       8.778506512
          79,      0.2015408129,     -0.9437346112,       1.503926166,      0.9588949075,       4.122816214,      -11.20757364,   2.075096642e-08,   3.334727982e-06,       6.513393354,       8.866860869,        8.86624255
          80,      0.2017707512,     -0.8354680406,       1.536378286,      0.8095279038,       4.341901374,      -11.23361832,   2.095831362e-08,   3.827831967e-06,       6.513393354,       8.955529477,       8.954796663
          81,      0.2025022831,     -0.8260533533,       1.546686557,      0.9870082655,       4.234641245,      -11.25916925,   2.116773179e-08,   3.762197966e-06,       6.513393354,       9.045084772,       9.044278827
          82,      0.2024823249,     -0.8375442918,       1.551714475,      0.8870614147,       4.198666354,       -11.2432178,    2.13792416e-08,   3.788083192e-06,       6.513393354,        9.13553562,       9.134658175
          83,      0.2025362619,     -0.8359423416,       1.528955518,      0.7567582019,       4.248569524,      -11.27592678,   2.159286389e-08,   3.860520414e-06,       6.513393354,       9.226890976,       9.225928233
          84,      0.2025197267,     -0.8331496393,       1.511324896,      0.8507454806,        4.17300051,      -11.28223981,   2.180861977e-08,    3.93716213e-06,       6.513393354,       9.319159886,       9.318117459
